nonCS.012	ADAPT BEHAV
nonCS.013	ALGOL Bulletin
nonCS.013	ALGOL BULL
nonCS.014	Algorithmica
nonCS.015	Applied Artificial Intelligence
nonCS.015	APPL ARTIF INTELL
nonCS.016	Archives of Computational Methods in Engineering
nonCS.016	ARCH COMPUT METHOD E
nonCS.017	Autonomous Agents and Multi-Agent Systems
nonCS.017	AUTON AG MULTI AG SYS
nonCS.018	Code Words
nonCS.018	CODE WORD
nonCS.019	Cognitive Systems Research
nonCS.019	COGN SYS RES
nonCS.020	Combinatorica
nonCS.021	Combinatorics, Probability and Computing
nonCS.021	COMBIN PROBAB COMPUT
nonCS.022	Computational and Mathematical Organization Theory
nonCS.022	COMPUT MATH ORGAN THER
nonCS.023	Computer Aided Surgery
nonCS.023	COMPUT AID SURG
nonCS.024	Computer Law & Security Review
nonCS.024	COMPUT SECUR REV
nonCS.025	Cybernetics and Human Knowing
nonCS.025	CYBERN HUM KNOW
nonCS.026	Discrete Mathematics & Theoretical Computer Science
nonCS.026	DISCR MATH THEOR COMPUT SCI
nonCS.027	Electronic Letters on Computer Vision and Image Analysis
nonCS.027	ELECTRON LETT COMPUT VIS IMG ANAL
nonCS.028	Electronic Notes in Theoretical Computer Science
nonCS.028	ELECTRON NOTE THEOR COMPUT SCI
nonCS.029	Electronic Proceedings in Theoretical Computer Science
nonCS.029	ELECTRON PROC THEOR COMPUT SCI
nonCS.030	Empirical Software Engineering Journal
nonCS.030	EMPIRICAL SOFTW ENG J
nonCS.031	EURASIP Journal on Advances in Signal Processing
nonCS.031	EURASIP J ADV SIGN PROC
nonCS.032	First Monday
nonCS.033	Formal Aspects of Computing
nonCS.033	FORM ASPECT COMPUT
nonCS.034	Foundations and Trends in Communications and Information Theory
nonCS.034	FOUND TREND COMMUN INFORM THER
nonCS.035	Foundations and Trends in Computer Graphics and Vision
nonCS.035	FOUND TREND COMPUT GRAPH VIS
nonCS.036	Foundations and Trends in Theoretical Computer Science
nonCS.036	FOUND TREND THEOR COMPUT SCI
nonCS.037	Fundamenta Informaticae
nonCS.037	FUND INFORM
nonCS.038	Fuzzy Sets and Systems
nonCS.038	FUZZY SET SYST
nonCS.039	Higher-Order and Symbolic Computation
nonCS.039	HIGH ORD SYMB COMPUT
nonCS.040	ICGA Journal
nonCS.040	ICGA J
nonCS.041	IEEE ACM Transactions on Networking
nonCS.041	IEEE TRANS NETW
nonCS.042	IEEE Annals of the History of Computing
nonCS.042	IEEE ANN HIST COMPUT
nonCS.043	IEEE Internet Computing
